stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone,wheelchair_boarding
QXB,,Aix-en-Provence,,43.511004,5.447470,Europe/Paris,1
XAM,,Amsterdam City Center - Sloterdijk,,52.389725,4.838442,Europe/Amsterdam,1
XAN,,Antwerp,,51.219258,4.417153,Europe/Brussels,1
XBC,,Barcelona Nord - Bus Station,,41.394968,2.183275,Europe/Madrid,1
ZYR,,Brussels City Center - Midi Train station,"Your bus stop is located on parking strip Rue de France, take the exit Rue de France / Rue de l'Instruction.",50.834966,4.333064,Europe/Brussels,1
GOA,,Genoa - Via Fanti d'Italia,,44.416356,8.919053,Europe/Rome,1
XGC,,Geneva - Bus station,The bus station is a 7 minute walk from Geneva Cornavin train station.,46.208384,6.146746,Europe/Zurich,1
GIA,,Girona,The entrance to the underground -1 bus station is located in Plaça Joan Brossa.  From 23:00 to 5:45 the station is closed. Departures and arrivals are at the taxi  stop,41.978969,2.817311,Europe/Madrid,1
XDB,,Lille,,50.638638,3.076491,Europe/Paris,1
ZEP,,London - Victoria Coach Station,Access : Buses are inside the Victoria Coach Station.,51.492513,-0.148349,Europe/London,1
XYL,,Lyon - Perrache Bus station,"Platforms are accessible from level 1, galerie A. Saône side. WARNING: The station is closed between 00:45 and 04:45, the BlaBlaCar bus stop will be located under the Kitchener bridge.",45.749711,4.826788,Europe/Paris,1
XRF,,Marseille - St-Charles Bus station,,43.304179,5.379868,Europe/Paris,1
XLM,,Milan,,45.489769,9.127595,Europe/Rome,1
XMT,,Montpellier,,43.584233,3.860007,Europe/Paris,1
NCE,,Nice - Airport T1,,43.664926,7.209845,Europe/Paris,1
XNS,,Nîmes,,43.817307,4.361770,Europe/Paris,1
XPB,,Paris - Bercy Seine,Pedestrians: via Bercy Park (behind the weight training area) from Bercy metro station. Cars: Quai de Bercy side. Free minute drop-off (10 min). Parking prohibited on the Quai de Bercy.,48.835687,2.380161,Europe/Paris,1
CDG,,Paris - Roissy Charles De Gaulle Airport,"Transport: RER B - Roissypôle Gare. By car: the bus station is located Rue du Luxembourg, in Tremblay-en-France.",49.010894,2.558934,Europe/Paris,1
QRH,,Rotterdam,,51.923531,4.466534,Europe/Amsterdam,1
XTS,,Toulouse,"ATTENTION: the bus station is closed from 1:00 to 4:30. Substitution: bus stop Pont Matabiau 76 boulevard Pierre Sémard 31500 TOULOUSE.  GPS point: 43.61392540552035, 1.4512734381914663",43.613299,1.452226,Europe/Paris,1
ORY,,Paris - Orly Airport,,48.730637,2.364067,Europe/Paris,1
